"caminho_relativo","nome_arquivo","extensao","tamanho_bytes","tamanho_legivel","data_modificacao","data_criacao"
"120_CTAs_Guia_Completo.md","120_CTAs_Guia_Completo.md",".md","16997","16.6 KB","2025-12-23 21:21","2025-12-28 11:10"
"120_CTAs_Premium_Intimax.json","120_CTAs_Premium_Intimax.json",".json","24109","23.54 KB","2025-12-23 21:21","2025-12-28 11:09"
"20_ideias_virais_bonus.md","20_ideias_virais_bonus.md",".md","17841","17.42 KB","2025-12-22 11:13","2025-12-22 11:13"
"20_posts_validados_karina.md","20_posts_validados_karina.md",".md","25470","24.87 KB","2025-12-22 11:13","2025-12-22 11:13"
"30_posts_dra_karina_planilha.xlsx","30_posts_dra_karina_planilha.xlsx",".xlsx","22870","22.33 KB","2025-12-22 11:34","2025-12-22 11:34"
"ARQUITETURA-BANCO-DADOS.md","ARQUITETURA-BANCO-DADOS.md",".md","29429","28.74 KB","2025-12-27 23:14","2025-12-27 23:14"
"biblioteca_hashtags_karina_pt1_autoridade.json","biblioteca_hashtags_karina_pt1_autoridade.json",".json","25114","24.53 KB","2025-12-23 21:30","2025-12-28 11:09"
"biblioteca_hashtags_karina_pt2_temas2e3.json","biblioteca_hashtags_karina_pt2_temas2e3.json",".json","40777","39.82 KB","2025-12-23 21:30","2025-12-28 11:09"
"biblioteca_hashtags_karina_pt3_temas4e5.json","biblioteca_hashtags_karina_pt3_temas4e5.json",".json","35770","34.93 KB","2025-12-23 21:31","2025-12-28 11:09"
"biblioteca_hashtags_karina_pt4_tema6_completo.json","biblioteca_hashtags_karina_pt4_tema6_completo.json",".json","18005","17.58 KB","2025-12-23 21:31","2025-12-28 11:09"
"BLOCO-11-RESUMO-EXECUTIVO.md","BLOCO-11-RESUMO-EXECUTIVO.md",".md","5957","5.82 KB","2025-12-27 19:42","2025-12-27 19:42"
"BLOCO-12-RESUMO-EXECUTIVO.md","BLOCO-12-RESUMO-EXECUTIVO.md",".md","6661","6.5 KB","2025-12-27 19:42","2025-12-27 19:42"
"BLOCO-6-RESUMO-EXECUTIVO.md","BLOCO-6-RESUMO-EXECUTIVO.md",".md","5752","5.62 KB","2025-12-27 19:41","2025-12-27 19:41"
"BLOCO-7-RESUMO-EXECUTIVO.md","BLOCO-7-RESUMO-EXECUTIVO.md",".md","5985","5.84 KB","2025-12-27 19:41","2025-12-27 19:41"
"BLOCO-8-RESUMO-EXECUTIVO.md","BLOCO-8-RESUMO-EXECUTIVO.md",".md","4692","4.58 KB","2025-12-27 19:41","2025-12-27 19:41"
"BLOCO-9-RESUMO-EXECUTIVO.md","BLOCO-9-RESUMO-EXECUTIVO.md",".md","5564","5.43 KB","2025-12-27 19:41","2025-12-27 19:41"
"CALENDARIO-90-DIAS-DETALHADO.md","CALENDARIO-90-DIAS-DETALHADO.md",".md","14663","14.32 KB","2025-12-27 19:42","2025-12-27 19:42"
"CALENDARIO-90-DIAS-SUPER-DETALHADO.md","CALENDARIO-90-DIAS-SUPER-DETALHADO.md",".md","28276","27.61 KB","2025-12-27 19:43","2025-12-27 19:43"
"calendario-dra-karina-v1.md","calendario-dra-karina-v1.md",".md","6380","6.23 KB","2025-12-22 15:27","2025-12-22 15:27"
"Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv","Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv",".csv","38327","37.43 KB","2025-12-19 14:49","2025-12-28 11:30"
"ChatGPT Image 27 de dez. de 2025, 19_28_24.png","ChatGPT Image 27 de dez. de 2025, 19_28_24.png",".png","1882691","1.8 MB","2025-12-27 19:28","2025-12-27 19:28"
"ChatGPT Image 27 de dez. de 2025, 19_28_26.png","ChatGPT Image 27 de dez. de 2025, 19_28_26.png",".png","2464062","2.35 MB","2025-12-27 19:28","2025-12-27 19:28"
"ChatGPT Image 27 de dez. de 2025, 22_42_34.png","ChatGPT Image 27 de dez. de 2025, 22_42_34.png",".png","2464062","2.35 MB","2025-12-27 22:42","2025-12-27 22:42"
"ChatGPT Image 27 de dez. de 2025, 22_42_42.png","ChatGPT Image 27 de dez. de 2025, 22_42_42.png",".png","321841","314.3 KB","2025-12-27 22:42","2025-12-27 22:42"
"ChatGPT Image 27 de dez. de 2025, 22_42_46.png","ChatGPT Image 27 de dez. de 2025, 22_42_46.png",".png","321841","314.3 KB","2025-12-27 22:42","2025-12-27 22:42"
"ChatGPT Image 27 de dez. de 2025, 22_42_48.png","ChatGPT Image 27 de dez. de 2025, 22_42_48.png",".png","1882691","1.8 MB","2025-12-27 22:42","2025-12-27 22:42"
"ChatGPT Image 27 de dez. de 2025, 22_42_51.png","ChatGPT Image 27 de dez. de 2025, 22_42_51.png",".png","922283","900.67 KB","2025-12-27 22:42","2025-12-27 22:42"
"ChatGPT Image 27 de dez. de 2025, 22_42_59.png","ChatGPT Image 27 de dez. de 2025, 22_42_59.png",".png","321841","314.3 KB","2025-12-27 22:42","2025-12-27 22:42"
"DocumentoTamanhoContedoUso.csv","DocumentoTamanhoContedoUso.csv",".csv","492","0.48 KB","2025-12-28 10:59","2025-12-28 10:59"
"DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx","DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx",".docx","17410","17 KB","2025-12-22 14:44","2025-12-22 14:44"
"estrategia_conteudo_estetico_2025.md","estrategia_conteudo_estetico_2025.md",".md","37358","36.48 KB","2025-12-22 10:47","2025-12-22 10:47"
"exemplos_praticos_implementacao.md","exemplos_praticos_implementacao.md",".md","16033","15.66 KB","2025-12-22 11:34","2025-12-22 11:34"
"GROK PROTOCOLOS E HACKS.docx","GROK PROTOCOLOS E HACKS.docx",".docx","68139","66.54 KB","2025-12-27 21:58","2025-12-27 21:58"
