"nome_arquivo","extensao","tamanho_bytes","tamanho_legivel","data_modificacao","data_criacao"
"120_CTAs_Guia_Completo.md",".md","16997","16.6 KB","2025-12-23 21:21","2025-12-28 11:10"
"120_CTAs_Premium_Intimax.json",".json","24109","23.54 KB","2025-12-23 21:21","2025-12-27 22:21"
"20_ideias_virais_bonus.md",".md","17841","17.42 KB","2025-12-22 11:13","2025-12-22 11:13"
"20_posts_validados_karina.md",".md","25470","24.87 KB","2025-12-22 11:13","2025-12-27 22:21"
"30_posts_dra_karina_planilha.xlsx",".xlsx","22870","22.33 KB","2025-12-22 11:34","2025-12-27 22:21"
"Analise-Sexologos-Conversas-WhatsApp-Instagram.md",".md","12429","12.14 KB","2025-12-10 12:53","2025-12-27 22:21"
"biblioteca_hashtags_karina_pt1_autoridade.json",".json","25114","24.53 KB","2025-12-23 21:30","2025-12-27 22:21"
"biblioteca_hashtags_karina_pt2_temas2e3.json",".json","40777","39.82 KB","2025-12-23 21:30","2025-12-27 22:21"
"biblioteca_hashtags_karina_pt3_temas4e5.json",".json","35770","34.93 KB","2025-12-23 21:31","2025-12-27 22:21"
"biblioteca_hashtags_karina_pt4_tema6_completo.json",".json","18005","17.58 KB","2025-12-23 21:31","2025-12-27 22:21"
"BLOCO-11-RESUMO-EXECUTIVO.md",".md","5957","5.82 KB","2025-12-27 19:42","2025-12-27 19:42"
"BLOCO-12-RESUMO-EXECUTIVO.md",".md","6661","6.5 KB","2025-12-27 19:42","2025-12-27 19:42"
"BLOCO-6-RESUMO-EXECUTIVO.md",".md","5752","5.62 KB","2025-12-27 19:41","2025-12-27 19:41"
"BLOCO-7-RESUMO-EXECUTIVO.md",".md","5985","5.84 KB","2025-12-27 19:41","2025-12-27 19:41"
"BLOCO-8-RESUMO-EXECUTIVO.md",".md","4692","4.58 KB","2025-12-27 19:41","2025-12-27 19:41"
"BLOCO-9-RESUMO-EXECUTIVO.md",".md","5564","5.43 KB","2025-12-27 19:41","2025-12-27 19:41"
