"caminho_origem","caminho_destino","acao","motivo"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\CSVs\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\DOCXs\CTAs Eficazes no Instagram para Público Brasileiro grok.docx","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\CTAs Eficazes no Instagram para Público Brasileiro grok.docx","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\DOCXs\PLAYBOOK_MASTER_COMPLETO_KARINA.docx","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\PLAYBOOK_MASTER_COMPLETO_KARINA.docx","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\JSONs\120_CTAs_Premium_Intimax.json","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\120_CTAs_Premium_Intimax.json","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt1_autoridade.json","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\biblioteca_hashtags_karina_pt1_autoridade.json","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt2_temas2e3.json","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\biblioteca_hashtags_karina_pt2_temas2e3.json","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt3_temas4e5.json","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\biblioteca_hashtags_karina_pt3_temas4e5.json","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt4_tema6_completo.json","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\biblioteca_hashtags_karina_pt4_tema6_completo.json","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\Markdowns\20_posts_validados_karina.md","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\20_posts_validados_karina.md","movido","mover_subpasta_para_raiz"
"C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\2_ARQUIVOS_SOLTOS\Markdowns\Analise-Sexologos-Conversas-WhatsApp-Instagram.md","C:\Users\lucas\Desktop\ARQUIVOS_SISTEMA_INSTAGRAM_INSTITUTO\Analise-Sexologos-Conversas-WhatsApp-Instagram.md","movido","mover_subpasta_para_raiz"
