caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida,dup_tipo
120_CTAs_Premium_Intimax.json,120_CTAs_Premium_Intimax.json,.json,24109,23.54 KB,2025-12-23 21:21,2025-12-28 11:09,120_CTAs_Premium_Intimax.json,120_ctas_premium_intimax.json,120_ctas_premium_intimax.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
120_CTAs_Premium_Intimax.json,120_CTAs_Premium_Intimax.json,.json,24109,23.54 KB,2025-12-23 21:21,2025-12-28 11:09,120_CTAs_Premium_Intimax.json,120_ctas_premium_intimax.json,120_ctas_premium_intimax.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\JSONs\120_CTAs_Premium_Intimax.json,120_CTAs_Premium_Intimax.json,.json,24109,23.54 KB,2025-12-23 21:21,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\120_CTAs_Premium_Intimax.json,2_arquivos_soltos\jsons\120_ctas_premium_intimax.json,120_ctas_premium_intimax.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\JSONs\120_CTAs_Premium_Intimax.json,120_CTAs_Premium_Intimax.json,.json,24109,23.54 KB,2025-12-23 21:21,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\JSONs\120_CTAs_Premium_Intimax.json,2_arquivos_soltos\jsons\120_ctas_premium_intimax.json,120_ctas_premium_intimax.json,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
20_posts_validados_karina.md,20_posts_validados_karina.md,.md,25470,24.87 KB,2025-12-22 11:13,2025-12-22 11:13,20_posts_validados_karina.md,20_posts_validados_karina.md,20_posts_validados_karina.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
20_posts_validados_karina.md,20_posts_validados_karina.md,.md,25470,24.87 KB,2025-12-22 11:13,2025-12-22 11:13,20_posts_validados_karina.md,20_posts_validados_karina.md,20_posts_validados_karina.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\20_posts_validados_karina.md,20_posts_validados_karina.md,.md,25470,24.87 KB,2025-12-22 11:13,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\20_posts_validados_karina.md,2_arquivos_soltos\markdowns\20_posts_validados_karina.md,20_posts_validados_karina.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\Markdowns\20_posts_validados_karina.md,20_posts_validados_karina.md,.md,25470,24.87 KB,2025-12-22 11:13,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\20_posts_validados_karina.md,2_arquivos_soltos\markdowns\20_posts_validados_karina.md,20_posts_validados_karina.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\XLSXs\30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,.xlsx,22870,22.33 KB,2025-12-22 11:34,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\XLSXs\30_posts_dra_karina_planilha.xlsx,2_arquivos_soltos\xlsxs\30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\XLSXs\30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,.xlsx,22870,22.33 KB,2025-12-22 11:34,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\XLSXs\30_posts_dra_karina_planilha.xlsx,2_arquivos_soltos\xlsxs\30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,.xlsx,22870,22.33 KB,2025-12-22 11:34,2025-12-22 11:34,30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
