"Name","Length","LastWriteTime","DirectoryName"
"Karina-Rodovanski-Campaigns-Oct-24-2025-Nov-22-2025.csv","989","23/11/2025 20:54:12","C:\Users\lucas\Downloads"
"Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv","38327","19/12/2025 14:49:13","C:\Users\lucas\Downloads\Downloads_COMET"
"30_posts_dra_karina_planilha.xlsx","22870","22/12/2025 11:34:54","C:\Users\lucas\Downloads\Downloads_COMET"
"120_CTAs_Premium_Intimax.json","24109","23/12/2025 21:21:30","C:\Users\lucas\Downloads\Downloads_COMET"
"biblioteca_hashtags_karina_pt1_autoridade.json","25114","23/12/2025 21:30:53","C:\Users\lucas\Downloads\Downloads_COMET"
"biblioteca_hashtags_karina_pt2_temas2e3.json","40777","23/12/2025 21:30:58","C:\Users\lucas\Downloads\Downloads_COMET"
"biblioteca_hashtags_karina_pt3_temas4e5.json","35770","23/12/2025 21:31:04","C:\Users\lucas\Downloads\Downloads_COMET"
"biblioteca_hashtags_karina_pt4_tema6_completo.json","18005","23/12/2025 21:31:20","C:\Users\lucas\Downloads\Downloads_COMET"
"Intimax-Site-Conversao-SEO-Copy.md","22771","17/12/2025 03:04:24","C:\Users\lucas\Downloads"
"melhores paginas no instagram de auto estima femin.md","4536","19/11/2025 04:12:03","C:\Users\lucas\Downloads"
"RELATÓRIO COMPLETO - PORTAL DRA. KARINA (PARTE 1 DO CHAT).md","18625","21/12/2025 21:12:57","C:\Users\lucas\Downloads"
"RESUMO EXECUTIVO - PORTAL DRA. KARINA RODOVANSKI.md","10842","21/12/2025 21:15:50","C:\Users\lucas\Downloads"
"10-Funis-Vendas-KOMMO-Rodovansky.md","45127","12/12/2025 18:46:40","C:\Users\lucas\Downloads\Downloads_COMET"
"20_posts_validados_karina.md","25470","22/12/2025 11:13:16","C:\Users\lucas\Downloads\Downloads_COMET"
"Blueprint-GPT-Conteudo-Instagram (1).md","21676","22/12/2025 16:50:01","C:\Users\lucas\Downloads\Downloads_COMET"
"Blueprint-GPT-Conteudo-Instagram.md","21676","22/12/2025 16:04:51","C:\Users\lucas\Downloads\Downloads_COMET"
"BLUEPRINT_EXPERIENCIA_PODCAST_RODOVANSKY.md","39977","17/12/2025 17:35:55","C:\Users\lucas\Downloads\Downloads_COMET"
"calendario-dra-karina-v1.md","6380","22/12/2025 15:27:23","C:\Users\lucas\Downloads\Downloads_COMET"
"FLUXOGRAMA-MASTER-RODOVANSKY.md","53576","09/12/2025 21:28:58","C:\Users\lucas\Downloads\Downloads_COMET"
"gpt-builder-instagram.md","9139","22/12/2025 17:09:52","C:\Users\lucas\Downloads\Downloads_COMET"
"GPT_System_Prompt_Karina_MARKDOWN.md","11128","23/12/2025 13:17:46","C:\Users\lucas\Downloads\Downloads_COMET"
"Guia_Uso_Hashtags_Karina_2024-2025.md","12202","23/12/2025 21:31:27","C:\Users\lucas\Downloads\Downloads_COMET"
"instagram-growth-map-2025 (1).md","21535","27/12/2025 19:37:46","C:\Users\lucas\Downloads\Downloads_COMET"
"instagram-growth-map-2025.md","21535","27/12/2025 19:05:47","C:\Users\lucas\Downloads\Downloads_COMET"
"instagram_branding_completo.md","32420","22/12/2025 11:34:09","C:\Users\lucas\Downloads\Downloads_COMET"
"manual-completo-vendas-harmonizacao-intima (1).md","52652","12/12/2025 18:10:32","C:\Users\lucas\Downloads\Downloads_COMET"
"manual-completo-vendas-harmonizacao-intima.md","52652","12/12/2025 18:04:41","C:\Users\lucas\Downloads\Downloads_COMET"
"portal-karina-guide.md","71130","06/12/2025 16:45:41","C:\Users\lucas\Downloads\Downloads_COMET"
"portal-rodovansky-completo (1).md","59361","06/12/2025 18:07:51","C:\Users\lucas\Downloads\Downloads_COMET"
"portal-rodovansky-completo.md","59361","06/12/2025 17:43:19","C:\Users\lucas\Downloads\Downloads_COMET"
"portal-rodovansky-otimizado.md","25795","06/12/2025 18:07:22","C:\Users\lucas\Downloads\Downloads_COMET"
"PROMPT-KOMMO-Instituto-Rodovansky.md","13734","13/12/2025 09:29:54","C:\Users\lucas\Downloads\Downloads_COMET"
"protocolo-12-2-instagram-facebook-ads.md","2792","27/12/2025 19:42:42","C:\Users\lucas\Downloads\Downloads_COMET"
"protocolo_instagram_50k.md","49526","23/12/2025 20:18:39","C:\Users\lucas\Downloads\Downloads_COMET"
"Resumo_Executivo_GPT_Karina.md","2726","23/12/2025 13:17:48","C:\Users\lucas\Downloads\Downloads_COMET"
"Rodovansky-20-Combos-Karina.md","14335","15/12/2025 14:55:14","C:\Users\lucas\Downloads\Downloads_COMET"
"rodovansky-compilado-v2.md","20269","06/12/2025 18:13:25","C:\Users\lucas\Downloads\Downloads_COMET"
"Sintese-Executiva-Instituto-Rodovansky.md","9909","13/12/2025 09:29:50","C:\Users\lucas\Downloads\Downloads_COMET"
"Guia Completo de Automação do Instagram 2025_ 20 F.docx","2343869","19/11/2025 04:10:53","C:\Users\lucas\Downloads"
"site_intimax_recriar.docx","1979440","16/12/2025 16:03:10","C:\Users\lucas\Downloads"
"CTAs Eficazes no Instagram para Público Brasileiro grok.docx","17452","23/12/2025 21:24:10","C:\Users\lucas\Downloads\Downloads_COMET"
"DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx","17410","22/12/2025 14:44:54","C:\Users\lucas\Downloads\Downloads_COMET"
"GPT_System_Prompt_Dra_Karina_v1.docx","18770","23/12/2025 13:17:50","C:\Users\lucas\Downloads\Downloads_COMET"
"informações grok instagram (1).docx","42895","22/12/2025 13:54:52","C:\Users\lucas\Downloads\Downloads_COMET"
"informações grok instagram.docx","42895","22/12/2025 13:54:47","C:\Users\lucas\Downloads\Downloads_COMET"
"site_intimax_recriar (1).docx","1979440","18/12/2025 01:58:22","C:\Users\lucas\Downloads\Downloads_COMET"
"DRA_KARINA_2_PAGINAS_CORRIGIDO.pdf","1086384","20/12/2025 15:10:07","C:\Users\lucas\Downloads"
"DRA_KARINA_3_PAGINAS.pdf","41081","20/12/2025 14:18:48","C:\Users\lucas\Downloads"
"Instagram_Black_Belt_Como_deixar_seu_instagram,_em_alto_nível_Dan.pdf","1678260","22/12/2025 13:37:20","C:\Users\lucas\Downloads"
"INTIMAX SCULPT - Método Completo (1).pdf","3960058","20/12/2025 15:57:21","C:\Users\lucas\Downloads"
"INTIMAX SCULPT - Método Completo.pdf","3967564","20/12/2025 15:49:45","C:\Users\lucas\Downloads"
"INTIMAX_COMPLETO_FINAL.pdf","6478707","20/12/2025 14:52:03","C:\Users\lucas\Downloads"
"INTIMAX_PAGINAS_5_A_10 (1).pdf","5172607","20/12/2025 14:19:20","C:\Users\lucas\Downloads"
"INTIMAX_PAGINAS_5_A_10 (2).pdf","5172607","20/12/2025 14:19:37","C:\Users\lucas\Downloads"
"INTIMAX_PAGINAS_5_A_10.pdf","5172607","20/12/2025 14:19:09","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_APRESENTACAO_FINAL (1).pdf","10163786","20/12/2025 14:18:58","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_APRESENTACAO_FINAL.pdf","10163786","20/12/2025 14:16:52","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_COMPLETO_FINAL.pdf","7951816","20/12/2025 15:21:10","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_COM_FOTOS_REAIS.pdf","514409","20/12/2025 15:16:12","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_FINAL_LIMPO.pdf","6359302","20/12/2025 15:09:13","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_METODO_RODOVANSKI (1).pdf","138277","20/12/2025 10:27:50","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_METODO_RODOVANSKI (2).pdf","138277","20/12/2025 10:27:56","C:\Users\lucas\Downloads"
"INTIMAX_SCULPT_METODO_RODOVANSKI.pdf","138277","20/12/2025 10:27:43","C:\Users\lucas\Downloads"
"Manual Completo das Redes Sociais_ Instagram Marke.pdf","413745","19/11/2025 04:13:17","C:\Users\lucas\Downloads"
"Manual SEOGRAM Netlinks – Instagram.pdf","802018","19/11/2025 04:15:15","C:\Users\lucas\Downloads"
"METODO_INTIMAX_PARTE2.pdf","1256715","20/12/2025 14:20:56","C:\Users\lucas\Downloads"
"METODO_INTIMAX_SCULPT_12_FOTOS_8_DEPOIMENTOS.pdf","1886338","19/12/2025 23:19:45","C:\Users\lucas\Downloads"
"METODO_INTIMAX_SCULPT_FINAL.pdf","67757","20/12/2025 10:25:31","C:\Users\lucas\Downloads"
"METODO_INTIMAX_SCULPT_PREMIUM.pdf","5216247","19/12/2025 23:19:34","C:\Users\lucas\Downloads"
"Relatorio_Executivo_Instituto_Karina_Rodovansky.pdf","2449","23/12/2025 22:49:47","C:\Users\lucas\Downloads"
"Relatorio_Gastos_Estrutura_Digital_Instituto_Karina_Rodovansky.pdf","3367","23/12/2025 22:04:18","C:\Users\lucas\Downloads"
"Guia_Producao_Visual_Instituto_Rodovansky.pdf","3576","06/12/2025 17:48:30","C:\Users\lucas\Downloads\Downloads_COMET"
"OPERAÇÃO EMBAIXADORAS DO IMPÉRIO RODOVANSKY™ — VER.pdf","1416719","12/12/2025 17:49:28","C:\Users\lucas\Downloads\Downloads_COMET"
"Promoção_Fim_de_Ano_Instituto_Rodovansky.pdf","72365314","15/12/2025 17:12:13","C:\Users\lucas\Downloads\Downloads_COMET"
"Relatorio_CFO_Clínica_Rodovansky.pdf","2167","11/12/2025 14:16:11","C:\Users\lucas\Downloads\Downloads_COMET"
"Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky (1).pdf","3943","20/12/2025 00:43:26","C:\Users\lucas\Downloads\Downloads_COMET"
"Relatorio_Financeiro_Consolidado_Instituto_Karina_Rodovansky.pdf","3943","16/12/2025 19:38:31","C:\Users\lucas\Downloads\Downloads_COMET"
"BONUS 13 PASSOS PARA BOMBAR NO INSTAGRAM.pdf","1616034","22/12/2025 13:36:30","C:\Users\lucas\Downloads\Telegram Desktop"
"Como crescer no instagram hackeando o algoritmo.pdf","1585381","22/12/2025 13:36:30","C:\Users\lucas\Downloads\Telegram Desktop"
"ENGAJANDO INSTAGRAM (2).pdf","1246135","22/12/2025 13:36:32","C:\Users\lucas\Downloads\Telegram Desktop"
"ENGAJANDO INSTAGRAM.pdf","1246135","22/12/2025 13:36:32","C:\Users\lucas\Downloads\Telegram Desktop"
"Guia_completo_do_Instagram_para_o_seu_negócio_desde_os_primeiros (2).pdf","2381112","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"Guia_completo_do_Instagram_para_o_seu_negócio_desde_os_primeiros.pdf","2125179","22/12/2025 13:36:17","C:\Users\lucas\Downloads\Telegram Desktop"
"INSTAGRAM HACKING USANDO O TERMUX ANDROID APP (2).pdf","125105","22/12/2025 13:36:31","C:\Users\lucas\Downloads\Telegram Desktop"
"INSTAGRAM HACKING USANDO O TERMUX ANDROID APP.pdf","125105","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"Organico Instagram(@EQUIPE7NAPISTA) (2).pdf","231231","22/12/2025 13:36:32","C:\Users\lucas\Downloads\Telegram Desktop"
"Organico Instagram(@EQUIPE7NAPISTA).pdf","1735889","22/12/2025 13:36:32","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com-250 (2).txt","8740","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com-250.txt","8740","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com.accounts.login.-250 (2).txt","9009","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com.accounts.login.-250.txt","9009","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"API_REFERENCE_RODOVANSKY.md","3681","21/12/2025 22:49:09","C:\Users\lucas\Desktop"
